sample_name,replicate,layer,Q2E,zooMS_ID,batch,plate
DC10498,3,11.2,0.623333333333334,Cervidae/Gazella/Saiga,20,3
DC10499,1,11.2,0.766666666666667,Bison/Yak,20,3
DC10499,2,11.2,0.766666666666667,Bison/Yak,20,3
DC10499,3,11.2,0.766666666666667,Bison/Yak,20,3
DC10501,1,11.2,0.683333333333333,Equidae,20,3
DC10501,2,11.2,0.683333333333333,Equidae,20,3
DC10501,3,11.2,0.683333333333333,Equidae,20,3
DC10502,1,11.2,0.63,Cervidae/Gazella/Saiga,20,3
DC10502,2,11.2,0.63,Cervidae/Gazella/Saiga,20,3
DC10502,3,11.2,0.63,Cervidae/Gazella/Saiga,20,3
DC10503,1,11.2,0.743333333333333,Equidae,20,3
DC10503,2,11.2,0.743333333333333,Equidae,20,3
DC10503,3,11.2,0.743333333333333,Equidae,20,3
DC10504,1,11.2,0.503333333333333,Ursidae,20,3
DC10504,2,11.2,0.503333333333333,Ursidae,20,3
DC10504,3,11.2,0.503333333333333,Ursidae,20,3
DC10505,1,11.2,0.92,Rhinocerotidae,20,3
DC10505,2,11.2,0.92,Rhinocerotidae,20,3
DC10505,3,11.2,0.92,Rhinocerotidae,20,3
DC10507,1,11.2,0.886666666666667,Bison/Yak,20,3
DC10507,2,11.2,0.886666666666667,Bison/Yak,20,3
DC10507,3,11.2,0.886666666666667,Bison/Yak,20,3
DC10508,1,11.2,0.79,Cervidae/Gazella/Saiga,20,3
DC10508,2,11.2,0.79,Cervidae/Gazella/Saiga,20,3
DC10508,3,11.2,0.79,Cervidae/Gazella/Saiga,20,3
DC10510,1,11.2,0.653333333333333,Bison/Yak,20,3
DC10510,2,11.2,0.653333333333333,Bison/Yak,20,3
DC10510,3,11.2,0.653333333333333,Bison/Yak,20,3
DC10511,1,11.2,0.763333333333333,Bison/Yak,20,3
DC10511,2,11.2,0.763333333333333,Bison/Yak,20,3
DC10511,3,11.2,0.763333333333333,Bison/Yak,20,3
DC10512,1,11.2,0.77,Equidae,20,3
DC10512,2,11.2,0.77,Equidae,20,3
DC10512,3,11.2,0.77,Equidae,20,3
DC10513,1,11.2,0.816666666666667,Bison/Yak,20,3
DC10513,2,11.2,0.816666666666667,Bison/Yak,20,3
DC10513,3,11.2,0.816666666666667,Bison/Yak,20,3
DC10514,1,11.2,0.77,Ovis/Capra,20,3
DC10514,2,11.2,0.77,Ovis/Capra,20,3
DC10514,3,11.2,0.77,Ovis/Capra,20,3
DC10515,1,11.2,0.76,Equidae,20,3
DC10515,2,11.2,0.76,Equidae,20,3
DC10515,3,11.2,0.76,Equidae,20,3
DC10516,1,11.2,0.7,Cervidae/Gazella/Saiga,20,3
DC10516,2,11.2,0.7,Cervidae/Gazella/Saiga,20,3
DC10516,3,11.2,0.7,Cervidae/Gazella/Saiga,20,3
DC10517,1,11.2,0.493333333333333,Rhinocerotidae,20,3
DC10517,2,11.2,0.493333333333333,Rhinocerotidae,20,3
DC10517,3,11.2,0.493333333333333,Rhinocerotidae,20,3
DC10518,1,11.2,0.68,Bison/Yak,20,3
DC10518,2,11.2,0.68,Bison/Yak,20,3
DC10518,3,11.2,0.68,Bison/Yak,20,3
DC10774,1,17.1,0.42,Ursidae,20,8
DC10774,2,17.1,0.42,Ursidae,20,8
DC10774,3,17.1,0.42,Ursidae,20,8
DC10780,1,17.1,0.596666666666667,Equidae,20,8
DC10780,2,17.1,0.596666666666667,Equidae,20,8
DC10780,3,17.1,0.596666666666667,Equidae,20,8
DC10782,1,17.1,0.436666666666667,Ursidae,20,8
DC10782,2,17.1,0.436666666666667,Ursidae,20,8
DC10782,3,17.1,0.436666666666667,Ursidae,20,8
DC10788,1,17.1,0.68,Capra,20,8
DC10788,2,17.1,0.68,Capra,20,8
DC10788,3,17.1,0.68,Capra,20,8
DC10793,1,17.1,0.443333333333333,Bison/Yak,20,8
DC10793,2,17.1,0.443333333333333,Bison/Yak,20,8
DC10793,3,17.1,0.443333333333333,Bison/Yak,20,8
DC10795,1,17.1,0.503333333333333,Canidae,20,8
DC10795,2,17.1,0.503333333333333,Canidae,20,8
DC10795,3,17.1,0.503333333333333,Canidae,20,8
DC10797,1,17.1,0.64,Canidae,20,8
DC10797,2,17.1,0.64,Canidae,20,8
DC10797,3,17.1,0.64,Canidae,20,8
DC10799,1,17.1,0.45,Cervidae/Gazella/Saiga,20,8
DC10799,2,17.1,0.45,Cervidae/Gazella/Saiga,20,8
DC10799,3,17.1,0.45,Cervidae/Gazella/Saiga,20,8
DC10805,1,17.1,0.506666666666667,Equidae,20,8
DC10805,2,17.1,0.506666666666667,Equidae,20,8
DC10805,3,17.1,0.506666666666667,Equidae,20,8
DC10806,1,17.1,0.52,Felidae/Ursidae,20,8
DC10806,2,17.1,0.52,Felidae/Ursidae,20,8
DC10806,3,17.1,0.52,Felidae/Ursidae,20,8
DC10811,1,17.1,0.56,Ursidae,20,8
DC10811,2,17.1,0.56,Ursidae,20,8
DC10811,3,17.1,0.56,Ursidae,20,8
DC10817,1,17.1,0.64,Equidae,20,8
DC10817,2,17.1,0.64,Equidae,20,8
DC10817,3,17.1,0.64,Equidae,20,8
DC12286,1,13,0.71,Rhinocerotidae,OE,12
DC12286,2,13,0.71,Rhinocerotidae,OE,12
DC12286,3,13,0.71,Rhinocerotidae,OE,12
DC12287,1,13,0.69,Bison/Yak,OE,12
DC12287,2,13,0.69,Bison/Yak,OE,12
DC12287,3,13,0.69,Bison/Yak,OE,12
DC3843,1,12,0.616666666666667,Equidae,4,4
DC3843,2,12,0.616666666666667,Equidae,4,4
DC3843,3,12,0.616666666666667,Equidae,4,4
DC3844,1,12,0.696666666666667,Rhinocerotidae,4,4
DC3844,2,12,0.696666666666667,Rhinocerotidae,4,4
DC3844,3,12,0.696666666666667,Rhinocerotidae,4,4
DC3845,1,12,0.76,Crocuta/Panthera,4,4
DC3845,2,12,0.76,Crocuta/Panthera,4,4
DC3845,3,12,0.76,Crocuta/Panthera,4,4
DC3846,1,12,0.606666666666667,Capra,4,4
DC3846,2,12,0.606666666666667,Capra,4,4
DC3846,3,12,0.606666666666667,Capra,4,4
DC3847,1,12,0.776666666666667,Equidae,4,4
DC3847,2,12,0.776666666666667,Equidae,4,4
DC3847,3,12,0.776666666666667,Equidae,4,4
DC3848,1,12,0.706666666666667,Bison/Yak,4,4
DC3848,2,12,0.706666666666667,Bison/Yak,4,4
DC3848,3,12,0.706666666666667,Bison/Yak,4,4
DC3849,1,12,0.683333333333333,Equidae,4,4
DC3849,2,12,0.683333333333333,Equidae,4,4
DC3849,3,12,0.683333333333333,Equidae,4,4
DC3850,1,12,0.72,Cervidae/Gazella/Saiga,4,4
DC3850,2,12,0.72,Cervidae/Gazella/Saiga,4,4
DC3850,3,12,0.72,Cervidae/Gazella/Saiga,4,4
DC3851,1,12,0.703333333333333,Bison/Yak,4,4
DC3851,2,12,0.703333333333333,Bison/Yak,4,4
DC3851,3,12,0.703333333333333,Bison/Yak,4,4
DC3852,1,12,0.633333333333333,Cervidae/Gazella/Saiga,4,4
DC3852,2,12,0.633333333333333,Cervidae/Gazella/Saiga,4,4
DC3852,3,12,0.633333333333333,Cervidae/Gazella/Saiga,4,4
DC3853,1,12,0.423333333333333,Equidae,4,4
DC3853,2,12,0.423333333333333,Equidae,4,4
DC3853,3,12,0.423333333333333,Equidae,4,4
DC3854,1,12,0.663333333333333,Equidae,4,4
DC3854,2,12,0.663333333333333,Equidae,4,4
DC3854,3,12,0.663333333333333,Equidae,4,4
DC3855,1,12,0.446666666666667,Equidae,4,4
DC3855,2,12,0.446666666666667,Equidae,4,4
DC3855,3,12,0.446666666666667,Equidae,4,4
DC3856,1,12,0.66,Equidae,4,4
DC3856,2,12,0.66,Equidae,4,4
DC3856,3,12,0.66,Equidae,4,4
DC3857,1,12,0.64,Bison/Yak,4,4
DC3857,2,12,0.64,Bison/Yak,4,4
